Variety,Region_of_Origin,Variety_f
Aglianico,S. Italy,Aglianico
Barbera,N. Italy,Barbera
Cab_Sauv,Bordeaux,Cabernet Sauvignon
Cabernet_franc,Bordeaux,Cabernet Franc
Carignane,Rhone,Carignan
Carmenere,Bordeaux,Carménère
Chardonnay,Burgundy,Chardonnay
Cot_Malbec,Bordeaux,Côt/Malbec
Dolcetto,N. Italy,Dolcetto
Durif,Rhone,Durif
Fiano,S. Italy,Fiano
Merlot,Bordeaux,Merlot
Grenache_noir,Spain,Grenache Noir
Montepulciano,S. Italy,Montepulciano
Mourvedre,Spain,Mourvèdre
Nebbiolo,N. Italy,Nebbiolo
Negra Amaro,S. Italy,Negroamaro
Petit_Verdot,Bordeaux,Petit Verdot
Pinot_noir,Burgundy,Pinot Noir
Riesling,Rhine,Riesling
Sagrantino,N. Italy,Sagrantino
Sangiovese,N. Italy,Sangiovese
Sauv_blanc,Bordeaux,Sauvignon Blanc
Syrah,Rhone,Syrah
Tannat,Bordeaux,Tannat
Tempranillo,Spain,Tempranillo
Tinta_cao,Portugal,Tinta Cão
Touriga_Nacional,Portugal,Touriga Nacional
Valdepenas,Rhone,Valdepeñas
Verdelho,Spain,Verdelho
Vermentino,S. Italy,Vermentino
Zinfandel,S. Italy,Zinfandel
