date,Block,Row,Vine,variety,brix,ph,ta,spec_data
6/24/2021,A,R 3,V 46,Aglianico,4.9,2.45,10.53,1
6/24/2021,A,R 3,V 47,Aglianico,4.9,2.48,10.62,1
6/24/2021,RMI,R 30,V 7,Aglianico,5.1,2.46,11,1
6/24/2021,RMI,R 30,V 8 ,Aglianico,4.7,2.47,10.72,1
6/24/2021,A,R 2,V 22,Barbera,5.2,2.58,11.29,1
6/24/2021,A2,R 5,V 9,Barbera,4.7,2.53,11.03,1
6/24/2021,RMI,R 24,V 1,Barbera,5.4,2.53,12.34,1
6/24/2021,RMI,R 24,V 2,Barbera,5.1,2.48,12.46,1
6/24/2021,A,R 2,V 47,Cab. Sauv.,5.3,2.58,10.46,1
6/24/2021,A2,R 7,V 5,Cab. Sauv.,4.2,2.63,10.32,1
6/24/2021,RMI,R 14,V 1,Cab. Sauv.,4.9,2.62,10.75,1
6/24/2021,RMI,R 14,V 2,Cab. Sauv.,4.9,2.59,11,1
6/24/2021,A,R 2,V 1,Carignane,5,2.61,10.31,1
6/24/2021,A2,R 4,V 13,Carignane,4.5,2.58,10.26,1
6/24/2021,RMI,R 17,V 10,Carignane,4.6,2.56,10.6,1
6/24/2021,RMI,R 17,V 9,Carignane,4.5,2.52,10.7,1
6/24/2021,A,R 1,V 1,Chardonnay,5.3,2.74,8.83,1
6/24/2021,A2,R 1,V 1,Chardonnay,5,2.72,9.52,1
6/24/2021,RMI,R 12 ,V 5,Chardonnay,4.5,2.65,14.19,1
6/24/2021,RMI,R 12 ,V 6,Chardonnay,4.5,2.68,10.16,1
6/24/2021,A,R 3,V 34,Fiano,5.2,2.6,10.56,1
6/24/2021,A,R 3,V 35,Fiano,5.1,2.6,10.6,1
6/24/2021,RMI,R 27,V 10,Fiano,4.8,2.64,10.48,1
6/24/2021,RMI,R 27,V 9,Fiano,4.9,2.68,10.34,1
6/24/2021,A,R 3,V 5,Grenache Noir,5.2,2.67,10,1
6/24/2021,A2,R 8,V 11,Grenache Noir,4.8,2.58,9.55,1
6/24/2021,RMI,R 33,V 7,Grenache Noir,5.2,2.55,9.72,1
6/24/2021,RMI,R 33,V 8,Grenache Noir,5.2,2.66,9.08,1
6/24/2021,A,R 2,V 41,Merlot,5.1,2.43,10.23,1
6/24/2021,A2,R 6,V 1,Merlot,5.3,2.65,10.38,1
6/24/2021,RMI,R 15,V 3,Merlot,5,2.5,10.34,1
6/24/2021,RMI,R 15,V 4,Merlot,5,2.45,10.41,1
6/24/2021,A,R 3,V 43,Montepulciano,4.3,2.5,10.31,1
6/24/2021,A2,R 10,V 11,Montepulciano,4.4,2.5,10.56,1
6/24/2021,RMI,R 31,V 3,Montepulciano,4.5,2.43,10.58,1
6/24/2021,RMI,R 31,V 4,Montepulciano,4.5,2.51,10.39,1
6/24/2021,A2,R 8,V 14,Mourvedre,4.7,2.44,10.45,1
6/24/2021,A2,R 8,V 15,Mourvedre,4.7,2.41,10.46,1
6/24/2021,RMI,R 34,V 3,Mourvedre,5.4,2.4,11,1
6/24/2021,RMI,R 34,V 4,Mourvedre,5.2,2.36,10.15,1
6/24/2021,A,R 3,V 50,Nebbiolo,4.9,2.35,11.72,1
6/24/2021,A2,R 10,V 5,Nebbiolo,5.4,2.4,12.1,1
6/24/2021,RMI,R 25,V 10,Nebbiolo,4.8,2.36,11.52,1
6/24/2021,RMI,R 25,V 9,Nebbiolo,5,2.39,11.43,1
6/24/2021,A,R 2,V 55,Pinot noir,5.3,2.51,11.26,1
6/24/2021,A2,R 7,V 11,Pinot noir,5.1,2.44,11.19,1
6/24/2021,RMI,R 13,V 7,Pinot noir,4.7,2.48,10.71,1
6/24/2021,RMI,R 13,V 8,Pinot noir,4.5,2.52,10.19,1
6/24/2021,RMI,R 20,V 10,Riesling,4.8,2.54,12.94,1
6/24/2021,RMI,R 20,V 9,Riesling,4.9,2.46,10.32,1
6/24/2021,A2 ,R 2,V 13,Riesling,5.1,2.58,11.36,1
6/24/2021,A,R 1,V 25,Riesling,5.5,2.55,12.22,1
6/24/2021,RMI,R 28,V 10,Sagrantino,5.2,2.48,11.27,1
6/24/2021,RMI,R 28,V 9,Sagrantino,5,2.52,10.52,1
6/24/2021,A,R 2,V 16,Sangiovese,5.7,2.44,13.47,1
6/24/2021,A,R 2,V 17,Sangiovese,5.7,2.35,11.11,1
6/24/2021,RMI,R 26,V 5,Sangiovese,5.8,2.4,13.46,1
6/24/2021,RMI,R 26,V 6,Sangiovese,5.8,2.31,12.85,1
6/24/2021,A,R 1,V 13,Sauv. blanc,5.3,2.61,11.82,1
6/24/2021,A2,R 1,V 15,Sauv. blanc,5.7,2.61,13,1
6/24/2021,RMI,R 16,V 1,Sauv. blanc,5.6,2.48,11.16,1
6/24/2021,RMI,R 16,V 2,Sauv. blanc,5.4,2.64,12.2,1
6/24/2021,A,R 2,V 25,Syrah,5.8,2.52,12.87,1
6/24/2021,A2,R 5,V 15,Syrah,4.6,2.6,12.11,1
